時間戳記,分析對象,您/對方的星座,耐性,脾氣暴躁,幼稚,頑固,心思細膩,保守,冷靜,樂觀,活潑,公正,優柔寡斷,強勢,浪漫,過度理想化,斤斤計較,心機重,完美主義,愛計仇,與眾不同,愛面子,有魅力,正義感,重視友情,專情,愛哭,顧家,體貼,情緒化,口才,創意,對表單有什麼建議或想法嗎？,潔癖
2017/12/29 下午 4:13:45,我本人,處女座,3,3,3,3,5,3,3,3,3,3,5,3,3,4,3,3,4,5,3,4,3,3,4,5,3,5,5,3,3,2,,4
2017/12/29 下午 4:15:08,我本人,處女座,5,1,1,3,5,4,4,3,3,5,3,2,2,2,3,3,4,3,4,2,3,4,4,5,2,5,5,1,3,3,我覺得可以加上一題（你相不相信星座？）的五點量表。原因是，我不相信星座，覺得迷信（九型人格的分析合理又有根據的多了），但我認為星座的確影響人，因為很相信星座的人，他們有可能因此讓自己越來越符合自己星座被認為該有的特質，例如天蠍被認為佔有慾強，那一個很相信星座的天蠍人，就可以非常自在的展現、發展自己的佔有慾，因為他會告訴自己：這就是我天生的性格！就是有加強自己這個性格的動機。此外再以我自己的例子來說，我最常被別人說符合處女座個性的是潔癖，但我一直以來都覺得生日決定個性是很荒謬的說法，而且看過不少在髒亂中也能自在生活的處女座，所以我仔細思考過讓我有潔癖的原因是什麼？我的結論是，因為我媽也潔癖，她讓我從小在太乾淨整潔的環境生活，以致於我之後根本無法忍受我的個人空間是髒亂的，但我媽是巨蟹座。因此其實什麼星座的人都可以有潔癖，只是如果處女座有潔癖，會被拿來大作文章而已。所以我建議詢問受試者本身相不相信星座，或許能比較是不是在相信星座的人身上比較準XP,5
2017/12/29 下午 4:15:19,他人,天蠍座,5,1,1,1,5,3,3,5,5,5,1,3,3,1,3,3,3,3,5,5,5,3,5,4,3,3,3,3,5,5,,3
2017/12/29 下午 4:15:59,我本人,射手座,1,3,4,4,2,2,3,4,3,4,2,3,3,3,2,2,1,2,4,4,3,3,4,4,3,2,2,4,3,3,,2
2017/12/29 下午 4:16:09,我本人,雙魚座,4,2,4,2,5,4,2,2,4,3,5,2,4,5,2,3,2,4,3,4,2,3,4,5,5,3,4,5,2,4,,2
2017/12/29 下午 4:16:37,我本人,摩羯座,4,4,2,4,5,2,4,4,4,4,4,4,2,3,2,4,2,4,4,4,4,5,5,3,1,4,5,4,4,5,,2
2017/12/29 下午 4:16:39,我本人,處女座,4,2,2,4,3,2,4,4,4,3,2,3,4,3,2,2,4,2,4,4,3,3,4,4,2,4,4,2,3,3,,4
2017/12/29 下午 4:16:48,我本人,水瓶座,3,3,3,3,2,3,3,3,3,3,2,3,1,3,2,1,3,2,3,3,3,3,4,3,3,3,3,3,3,3,,2
2017/12/29 下午 4:17:04,我本人,獅子座,3,4,3,2,2,1,2,3,4,4,4,4,4,3,1,1,4,1,5,4,3,4,5,4,3,5,5,4,3,4,,3
2017/12/29 下午 4:17:18,我本人,射手座,2,2,5,4,4,2,3,5,5,3,2,4,3,2,1,1,1,1,4,5,2,4,4,2,5,4,4,4,4,5,,2
2017/12/29 下午 4:17:42,我本人,巨蟹座,3,2,5,4,5,3,1,1,3,3,5,1,4,5,3,1,3,4,3,3,4,3,4,3,5,4,5,5,3,3,,3
2017/12/29 下午 4:17:51,我本人,天蠍座,2,3,3,4,2,2,4,3,3,3,4,3,4,3,4,3,2,5,2,4,3,3,4,5,5,4,4,3,3,2,,3
2017/12/29 下午 4:18:12,我本人,射手座,2,4,5,4,2,2,2,3,3,2,5,3,4,4,4,2,1,4,4,4,2,4,5,2,4,2,3,4,4,4,,1
2017/12/29 下午 4:18:37,我本人,金牛座,4,3,3,3,4,2,4,2,3,4,2,3,3,3,3,2,2,3,5,5,4,5,3,4,4,4,4,4,4,4,期待數據,3
2017/12/29 下午 4:18:38,我本人,雙子座,2,4,5,4,2,2,2,4,4,2,5,4,4,4,2,2,1,2,3,4,4,4,4,4,5,4,4,5,4,4,,2
2017/12/29 下午 4:19:05,我本人,金牛座,5,2,1,3,4,4,4,3,3,4,1,3,1,1,1,2,2,3,5,2,3,4,5,5,4,5,5,2,5,5,,2
2017/12/29 下午 4:20:18,我本人,獅子座,2,4,3,4,2,4,3,4,5,4,5,4,4,3,3,1,4,1,5,5,4,4,4,4,3,3,4,4,3,5,,3
2017/12/29 下午 4:20:27,我本人,摩羯座,3,3,4,3,2,3,4,2,2,2,4,4,4,2,3,2,2,4,2,4,4,3,3,5,4,3,3,4,3,3,,2
2017/12/29 下午 4:20:45,我本人,牡羊座,3,1,2,3,4,2,4,5,5,4,3,3,4,2,1,1,3,2,4,2,4,4,5,5,4,4,4,4,4,4,,3
2017/12/29 下午 4:21:52,我本人,巨蟹座,4,2,3,2,4,4,3,3,3,3,5,1,4,4,3,2,3,2,2,3,2,2,4,5,4,5,5,5,2,2,,3
2017/12/29 下午 4:21:59,我本人,獅子座,3,2,3,2,5,4,3,2,4,2,3,2,5,3,2,2,4,4,4,3,3,4,3,4,5,5,5,5,3,3,,4
2017/12/29 下午 4:22:02,我本人,獅子座,3,1,3,4,2,1,1,2,5,3,5,1,5,5,3,3,1,3,3,5,4,4,5,5,3,3,4,3,2,5,,3
2017/12/29 下午 4:23:09,他人,天蠍座,1,5,2,5,5,3,5,1,1,5,1,5,1,3,5,5,5,5,5,5,5,4,1,1,5,1,1,5,3,5,,5
2017/12/29 下午 4:23:23,他人,射手座,2,3,3,3,2,2,3,3,3,2,2,4,2,3,2,3,2,2,2,4,3,2,4,2,2,2,2,3,4,3,,3
2017/12/29 下午 4:23:29,我本人,巨蟹座,4,3,3,4,3,3,4,4,5,3,1,4,3,3,2,3,4,4,4,4,3,3,4,4,4,4,4,3,2,4,,3
2017/12/29 下午 4:24:12,我本人,水瓶座,4,3,2,3,4,2,4,3,2,4,2,3,3,2,3,2,4,3,5,3,3,4,4,5,3,4,4,3,4,5,Nope,2
2017/12/29 下午 4:24:52,我本人,水瓶座,4,2,2,1,2,2,4,4,4,4,5,2,3,3,2,2,2,1,4,3,2,4,2,4,4,5,4,3,4,4,,3
2017/12/29 下午 4:25:03,我本人,天秤座,3,1,5,1,5,3,5,3,3,4,5,3,1,1,3,1,1,1,5,3,5,3,5,5,3,5,5,1,3,3,,3
2017/12/29 下午 4:25:40,我本人,天秤座,4,2,4,2,4,3,2,2,4,3,5,4,5,4,4,2,4,2,4,4,5,5,4,4,2,3,4,4,4,4,,4
2017/12/29 下午 4:25:53,我本人,雙魚座,4,1,1,3,5,4,4,3,2,4,2,3,4,1,2,4,4,2,3,5,3,4,4,4,4,5,5,1,3,4,,4
2017/12/29 下午 4:25:55,我本人,射手座,3,3,5,3,4,4,2,3,4,3,1,3,4,3,1,2,2,2,4,3,4,5,5,5,3,4,4,3,5,5,,3
2017/12/29 下午 4:26:00,我本人,天蠍座,3,4,3,4,4,4,2,2,2,4,4,4,4,3,2,2,3,4,2,5,3,3,4,5,4,4,5,4,4,2,,2
2017/12/29 下午 4:26:13,我本人,天蠍座,3,3,3,4,3,4,2,2,2,2,4,2,3,3,3,3,2,3,2,4,2,2,4,5,3,4,3,5,2,2,,2
2017/12/29 下午 4:26:29,我本人,雙子座,4,1,5,2,3,3,4,4,4,3,2,3,2,2,1,1,2,1,3,4,4,3,4,4,4,4,3,3,5,5,,2
2017/12/29 下午 4:26:56,我本人,天秤座,2,4,3,4,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,4,1,3,4,4,4,3,3,3,3,3,,2
2017/12/29 下午 4:27:06,我本人,水瓶座,4,4,3,4,3,3,3,3,3,4,4,3,2,4,2,2,2,2,4,2,3,3,5,4,3,4,4,2,3,3,,2
2017/12/29 下午 4:27:14,我本人,巨蟹座,3,4,3,3,4,3,2,1,3,3,5,4,4,4,2,3,2,3,3,4,3,4,5,4,5,5,5,5,2,2,,2
2017/12/29 下午 4:27:37,我本人,金牛座,4,1,3,2,5,3,3,3,3,3,4,2,3,3,3,3,3,2,2,4,3,3,4,5,3,5,5,3,3,3,,2
2017/12/29 下午 4:27:50,我本人,處女座,3,4,3,4,3,3,3,3,3,3,4,4,3,2,3,3,5,3,2,4,3,3,5,4,5,3,4,4,2,3,,4
2017/12/29 下午 4:28:01,我本人,牡羊座,5,3,2,2,3,5,4,4,3,4,2,3,2,1,2,2,4,1,3,3,3,5,5,5,3,4,4,3,3,4,,4
2017/12/29 下午 4:28:19,我本人,獅子座,3,4,3,4,5,3,3,2,3,3,3,4,4,5,2,2,4,2,4,5,3,4,5,4,4,4,5,4,4,3,,3
2017/12/29 下午 4:28:39,我本人,處女座,5,3,2,3,5,4,4,1,3,5,2,3,3,1,4,2,4,2,3,5,3,3,4,5,1,5,5,1,3,3,,4
2017/12/29 下午 4:28:54,我本人,水瓶座,4,4,3,3,4,3,4,1,2,4,4,3,3,4,3,4,4,3,4,3,2,4,5,5,3,2,4,5,2,4,,3
2017/12/29 下午 4:28:57,他人,處女座,5,3,3,4,4,2,3,3,4,3,4,4,3,3,2,2,4,3,4,2,4,5,3,4,2,4,5,3,4,5,,4
2017/12/29 下午 4:29:07,他人,摩羯座,5,5,5,3,4,5,3,1,5,3,4,5,1,1,5,4,3,5,5,3,5,5,3,4,4,4,3,5,3,3,,1
2017/12/29 下午 4:29:18,他人,摩羯座,4,1,4,4,1,3,5,4,3,3,4,2,1,1,2,2,4,2,5,3,5,3,5,2,2,3,2,1,4,4,,4
2017/12/29 下午 4:29:40,我本人,摩羯座,4,3,4,3,5,3,3,5,4,4,3,4,3,3,2,2,4,2,4,4,4,5,5,5,4,5,4,3,4,3,,4
2017/12/29 下午 4:29:48,我本人,雙魚座,4,4,4,3,5,3,1,2,3,2,5,2,5,5,3,4,3,4,3,5,4,3,5,5,5,4,4,5,4,3,,3
2017/12/29 下午 4:30:04,我本人,天蠍座,3,2,2,2,3,2,4,3,3,4,4,4,3,3,2,3,2,3,4,2,4,3,4,5,2,4,4,2,4,3,無,4
2017/12/29 下午 4:30:08,我本人,天秤座,1,2,4,2,4,1,1,5,4,4,5,1,4,5,3,2,1,1,2,5,3,4,4,4,5,5,5,4,2,3,問答題!?XD  做的很好呦😊,2
2017/12/29 下午 4:30:20,我本人,天蠍座,4,2,3,4,4,4,4,2,2,2,4,4,3,1,3,2,3,4,4,5,5,4,5,4,4,4,4,2,5,4,,3
2017/12/29 下午 4:30:24,我本人,天蠍座,4,1,5,2,3,3,4,5,4,4,2,2,3,3,1,2,3,4,4,2,4,3,4,4,3,4,4,3,3,4,,3
2017/12/29 下午 4:30:39,他人,摩羯座,1,5,5,3,5,1,5,5,4,1,5,5,3,5,3,2,5,5,2,5,4,3,2,4,3,5,5,3,3,2,,5
2017/12/29 下午 4:30:45,我本人,金牛座,3,3,4,4,3,3,2,2,4,3,4,2,3,3,3,2,3,2,2,3,3,4,4,4,4,4,3,3,3,3,,3
2017/12/29 下午 4:31:19,我本人,雙魚座,4,3,2,2,4,2,3,4,4,3,3,3,4,5,2,4,2,3,3,3,3,4,4,4,4,3,3,3,5,4,,3
2017/12/29 下午 4:31:22,我本人,獅子座,2,3,2,4,4,2,3,5,5,5,2,4,4,4,1,1,2,3,3,3,3,5,5,5,5,5,5,3,4,5,哈囉^^,2
2017/12/29 下午 4:31:23,我本人,水瓶座,4,2,1,3,5,4,3,1,2,4,5,2,4,3,2,3,5,2,4,5,3,5,5,4,5,5,5,3,4,3,,3
2017/12/29 下午 4:31:57,我本人,摩羯座,4,2,4,4,3,3,2,2,4,4,5,4,2,3,2,2,2,4,4,2,3,4,4,5,5,4,4,2,4,4,,2
2017/12/29 下午 4:32:31,我本人,雙子座,2,3,3,2,4,4,5,4,5,4,5,3,4,3,2,1,4,1,3,4,3,4,5,4,3,3,4,2,4,3,,3
2017/12/29 下午 4:32:47,我本人,處女座,4,1,3,4,4,3,4,3,4,4,1,2,4,4,1,2,2,2,3,4,3,4,4,4,2,3,4,4,3,3,,2
2017/12/29 下午 4:33:06,我本人,天秤座,3,1,2,4,5,3,5,3,3,4,5,1,5,4,2,2,1,1,4,3,3,4,5,5,1,4,5,3,3,3,,4
2017/12/29 下午 4:33:18,我本人,天蠍座,3,4,3,5,3,4,2,5,5,4,4,4,5,5,3,5,5,5,3,4,4,5,3,4,5,5,2,5,1,5,,4
2017/12/29 下午 4:33:29,我本人,雙魚座,2,1,5,2,5,1,1,5,2,4,1,1,5,5,4,1,1,1,4,4,3,3,4,5,5,4,4,1,1,2,,4
2017/12/29 下午 4:33:29,我本人,雙魚座,1,4,4,4,1,1,4,3,3,2,3,4,5,4,3,3,1,2,3,3,1,3,4,3,5,4,4,5,2,3,,3
2017/12/29 下午 4:33:43,他人,射手座,2,3,4,4,2,3,3,4,3,2,5,4,1,2,2,2,4,2,1,5,3,3,5,3,2,3,2,2,2,2,,3
2017/12/29 下午 4:35:12,我本人,天秤座,4,2,3,3,3,4,3,4,4,4,4,2,3,3,4,2,2,2,3,3,3,3,4,5,3,4,4,2,3,3,,2
2017/12/29 下午 4:35:13,我本人,摩羯座,5,2,2,2,4,2,4,3,4,3,3,3,3,2,3,1,4,5,5,5,3,3,4,4,3,3,3,3,3,4,,4
2017/12/29 下午 4:35:55,我本人,雙魚座,3,3,4,5,3,3,2,3,3,4,5,2,4,4,3,2,4,3,4,4,3,3,5,5,2,2,4,5,3,4,,3
2017/12/29 下午 4:36:12,我本人,獅子座,2,3,2,5,4,4,4,5,5,5,3,4,3,2,1,3,4,1,5,5,4,5,5,5,4,3,4,3,4,4,沒有,4
2017/12/29 下午 4:36:15,我本人,獅子座,1,3,2,2,3,1,5,4,5,3,1,4,3,2,3,2,2,5,4,4,3,1,4,3,2,2,4,2,4,4,棒,2
2017/12/29 下午 4:36:20,我本人,金牛座,3,2,3,4,4,2,3,3,3,3,3,3,4,4,2,2,4,3,3,4,3,3,2,5,3,4,4,4,4,2,,3
2017/12/29 下午 4:36:47,我本人,射手座,1,4,3,4,1,3,3,4,4,5,3,5,3,3,4,2,1,1,3,1,1,4,5,5,4,2,3,3,3,4,,1
2017/12/29 下午 4:37:03,我本人,射手座,2,4,4,4,4,2,3,5,5,4,4,4,3,3,3,2,4,1,5,4,4,4,5,5,4,3,4,3,4,5,,4
2017/12/29 下午 4:37:12,我本人,牡羊座,2,2,3,4,2,2,3,4,3,2,2,3,4,4,3,2,4,3,3,4,3,4,3,4,4,4,3,4,3,3,,4
2017/12/29 下午 4:37:21,我本人,巨蟹座,2,4,1,3,4,3,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4,5,4,3,3,4,3,4,4,沒意見,3
2017/12/29 下午 4:38:11,我本人,雙子座,3,3,4,2,4,2,4,3,5,3,4,4,4,3,3,2,2,2,4,4,4,4,4,2,2,4,4,4,4,4,,3
2017/12/29 下午 4:38:54,我本人,天蠍座,2,2,4,2,5,3,5,2,3,3,4,3,4,3,3,4,4,3,4,3,3,4,3,4,4,4,4,3,3,4,,4
2017/12/29 下午 4:40:15,我本人,天秤座,4,2,3,1,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,4,3,3,4,,3
2017/12/29 下午 4:40:19,我本人,天秤座,3,3,3,4,3,3,3,2,3,3,5,3,4,3,3,2,3,2,3,4,3,3,5,5,2,3,3,3,4,3,,3
2017/12/29 下午 4:40:19,我本人,射手座,3,1,4,2,4,3,3,4,4,4,3,2,4,3,1,1,3,1,3,3,4,4,5,5,3,2,5,2,2,3,,5
2017/12/29 下午 4:40:28,我本人,摩羯座,4,2,2,4,3,4,4,4,2,5,4,3,3,4,2,4,4,4,4,4,4,4,4,5,2,4,5,3,3,3,,3
2017/12/29 下午 4:40:28,我本人,金牛座,2,4,3,4,3,1,4,3,4,2,5,3,2,1,2,4,4,5,4,5,4,5,3,2,3,3,3,5,3,2,,3
2017/12/29 下午 4:41:05,我本人,水瓶座,4,2,3,4,3,4,3,4,3,4,4,3,2,2,2,3,2,3,5,2,1,3,5,5,1,3,3,3,2,4,,4
2017/12/29 下午 4:41:49,我本人,牡羊座,1,5,3,4,4,3,2,4,4,3,3,4,4,2,5,3,5,3,3,3,4,5,4,3,4,2,4,4,5,4,,4
2017/12/29 下午 4:42:01,我本人,射手座,4,4,5,5,4,3,3,3,3,3,3,3,2,5,3,2,3,2,2,2,2,2,5,4,2,2,2,3,2,2,,2
2017/12/29 下午 4:42:18,我本人,雙魚座,1,4,3,4,2,4,3,3,2,4,4,3,4,4,4,3,2,3,2,4,3,3,5,4,5,4,3,5,1,2,,2
2017/12/29 下午 4:42:31,我本人,天蠍座,2,3,3,3,4,3,3,2,2,4,4,3,3,2,3,2,2,5,3,3,2,3,5,4,4,3,3,4,2,3,,3
2017/12/29 下午 4:42:54,我本人,巨蟹座,2,3,3,4,2,2,4,1,1,4,2,3,1,2,4,3,2,4,4,4,1,4,4,4,1,3,1,4,3,2,,2
2017/12/29 下午 4:42:55,我本人,巨蟹座,2,3,3,4,2,2,4,1,1,4,2,3,1,2,4,3,2,4,4,4,1,4,4,4,1,3,1,4,3,2,,2
2017/12/29 下午 4:42:56,他人,天蠍座,5,3,3,2,4,2,4,3,3,4,2,4,3,2,1,3,2,3,3,3,4,3,4,5,2,5,4,3,4,3,,4
2017/12/29 下午 4:42:57,我本人,處女座,3,5,1,3,5,1,4,2,2,3,5,5,3,1,3,3,5,4,5,4,5,4,4,5,1,5,5,4,5,3,,4
2017/12/29 下午 4:43:04,我本人,金牛座,3,3,3,4,3,2,5,5,5,4,1,4,4,1,1,3,3,4,5,4,4,4,5,5,3,2,5,2,4,4,,4
2017/12/29 下午 4:43:31,我本人,獅子座,3,3,3,2,4,4,2,2,4,5,1,3,3,3,3,2,3,4,5,4,3,4,3,5,1,2,4,3,3,3,,3
2017/12/29 下午 4:43:39,他人,摩羯座,1,1,5,5,3,5,5,2,1,4,5,1,1,4,3,2,1,1,3,2,1,2,3,5,1,4,2,3,2,1,,4
2017/12/29 下午 4:43:57,我本人,摩羯座,4,3,3,4,4,4,4,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,5,4,3,4,4,2,2,,3
2017/12/29 下午 4:43:59,我本人,天蠍座,2,4,2,3,2,2,2,2,4,4,5,4,2,3,4,4,5,5,2,4,4,4,4,5,3,3,3,3,4,4,,3
2017/12/29 下午 4:44:08,我本人,射手座,2,3,2,3,2,3,2,2,4,3,1,3,4,4,2,2,2,4,5,4,4,5,5,5,4,2,4,4,4,5,選項的地方五點量表可以設定相同的答案，從非常不符合到完全符合，會比較容易填寫😂,4
2017/12/29 下午 4:44:13,我本人,水瓶座,2,2,5,3,4,2,3,5,4,4,2,4,4,3,2,2,1,1,5,4,4,4,4,4,5,5,5,5,5,5,,2
2017/12/29 下午 4:44:16,我本人,摩羯座,4,4,3,4,4,4,3,2,3,3,1,4,3,1,2,2,4,3,4,2,1,4,5,5,5,5,4,4,2,2,我是摩羯我驕傲哈哈哈,4
2017/12/29 下午 4:44:29,我本人,摩羯座,3,3,3,4,2,3,4,2,3,4,5,4,3,2,2,2,3,1,3,4,2,3,3,5,2,4,4,4,2,2,,4
2017/12/29 下午 4:44:36,我本人,雙子座,3,1,4,4,5,3,4,4,4,3,5,2,4,4,4,2,3,3,4,5,4,3,4,4,3,4,4,5,3,3,,3
2017/12/29 下午 4:44:46,我本人,水瓶座,4,2,4,2,5,4,4,4,3,4,5,2,1,5,2,1,2,1,4,2,4,4,5,4,5,5,5,5,3,4,,2
2017/12/29 下午 4:44:53,我本人,摩羯座,3,1,3,5,2,5,3,1,3,3,4,3,1,2,3,1,4,2,4,4,3,4,5,4,3,3,3,4,3,2,,2
2017/12/29 下午 4:45:04,我本人,處女座,2,3,2,4,5,3,2,2,4,3,4,4,3,4,2,3,5,2,3,5,4,4,3,4,5,5,4,5,4,3,,4
2017/12/29 下午 4:45:53,我本人,獅子座,2,3,4,3,3,3,4,1,1,3,2,3,4,3,2,1,4,2,3,5,4,4,3,5,3,3,4,4,3,3,,3
2017/12/29 下午 4:46:12,我本人,射手座,1,4,4,4,2,1,1,5,5,3,2,4,4,4,2,2,3,1,4,4,3,5,4,4,5,3,5,4,4,5,,4
2017/12/29 下午 4:46:15,我本人,射手座,2,4,3,3,2,4,3,3,3,3,4,2,3,3,3,2,3,3,3,4,3,3,4,4,4,4,3,4,2,2,,4
2017/12/29 下午 4:46:17,我本人,射手座,1,4,4,4,2,1,1,5,5,3,2,4,4,4,2,2,3,1,4,4,3,5,4,4,5,3,5,4,4,5,,4
2017/12/29 下午 4:46:30,我本人,牡羊座,2,4,3,3,4,3,3,4,4,4,3,2,3,3,2,2,3,4,4,4,3,4,5,4,3,4,5,4,4,4,,5
2017/12/29 下午 4:46:37,我本人,天蠍座,4,2,3,3,4,4,3,2,3,3,4,3,3,2,3,3,3,4,3,4,3,3,5,5,3,4,4,3,2,3,,3
2017/12/29 下午 4:46:48,我本人,摩羯座,5,1,5,5,5,4,5,4,1,4,4,1,2,1,3,2,4,5,4,5,5,5,5,5,5,4,5,1,4,3,,3
2017/12/29 下午 4:46:50,我本人,處女座,2,4,4,4,4,4,5,2,2,3,5,2,2,3,1,2,2,4,4,4,2,3,4,4,4,4,3,1,3,3,,3
2017/12/29 下午 4:46:53,我本人,金牛座,1,3,3,4,3,3,3,2,3,4,4,2,2,2,4,4,4,4,3,4,2,3,4,5,4,3,2,4,2,2,,3
2017/12/29 下午 4:47:07,我本人,水瓶座,4,4,2,3,2,2,4,5,4,5,2,4,5,2,2,1,4,1,5,4,5,5,5,5,4,5,4,3,3,4,,4
2017/12/29 下午 4:47:08,我本人,水瓶座,2,4,4,4,3,4,3,3,3,4,2,2,3,3,3,2,2,4,4,4,1,4,4,4,5,5,4,4,3,3,,3
2017/12/29 下午 4:47:24,我本人,巨蟹座,3,3,2,4,4,4,3,5,4,3,5,3,3,3,2,3,3,4,5,4,3,4,4,5,2,4,4,3,3,4,,3
2017/12/29 下午 4:47:26,我本人,雙魚座,4,3,4,4,5,4,4,3,3,4,4,3,5,3,3,2,4,2,2,4,4,5,4,4,5,4,5,4,4,5,,4
2017/12/29 下午 4:47:33,我本人,水瓶座,2,4,4,4,3,4,3,3,3,4,2,2,3,3,3,2,2,4,4,4,1,4,4,4,5,5,4,4,3,3,,3
2017/12/29 下午 4:47:48,我本人,射手座,2,4,4,4,2,3,4,4,3,5,5,4,3,4,3,1,5,2,4,5,3,5,4,4,3,2,4,4,4,5,,3
2017/12/29 下午 4:47:54,我本人,金牛座,1,5,4,4,4,1,2,4,5,3,3,5,4,2,3,3,4,5,5,5,4,5,5,5,5,5,5,5,3,5,,3
2017/12/29 下午 4:47:55,我本人,雙子座,3,3,2,3,4,3,3,4,4,4,3,4,4,3,2,2,2,3,3,3,3,3,4,4,4,4,4,4,3,3,,3
2017/12/29 下午 4:48:19,我本人,天秤座,4,3,3,2,5,3,4,2,3,4,5,2,4,3,3,2,4,4,4,3,4,4,4,5,4,3,4,2,4,5,,4
2017/12/29 下午 4:48:33,我本人,射手座,3,3,3,4,3,2,4,3,3,3,4,1,2,2,2,3,3,2,2,2,3,3,5,4,4,2,4,2,3,2,,3
2017/12/29 下午 4:48:38,我本人,獅子座,4,4,3,2,2,2,3,3,3,4,4,4,3,1,2,3,4,2,3,5,4,5,5,3,2,2,2,2,3,3,,3
2017/12/29 下午 4:48:38,我本人,獅子座,3,3,4,5,3,3,2,4,3,3,5,1,3,3,1,1,1,1,3,3,3,5,4,5,5,4,4,5,1,3,,3
2017/12/29 下午 4:49:35,我本人,牡羊座,1,5,3,4,2,3,4,2,4,3,2,5,3,2,3,2,4,4,4,4,1,4,2,3,2,3,4,5,3,2,,3
2017/12/29 下午 4:49:35,我本人,獅子座,4,2,3,3,5,2,3,5,5,3,5,2,2,2,2,3,2,1,5,4,3,3,4,5,4,4,5,3,3,4,,3
2017/12/29 下午 4:50:10,我本人,處女座,2,3,3,3,4,4,2,2,2,4,3,2,3,3,3,1,4,2,2,5,1,4,5,5,5,4,4,4,3,2,,4
2017/12/29 下午 4:50:19,我本人,摩羯座,3,2,3,1,3,4,5,5,5,5,3,3,2,2,4,2,2,3,5,4,3,5,4,5,5,5,4,3,5,5,,3
2017/12/29 下午 4:50:44,我本人,天蠍座,4,2,2,3,4,2,4,4,3,3,2,4,3,4,3,4,4,4,3,3,3,3,4,4,2,3,2,2,4,4,,4
2017/12/29 下午 4:51:15,我本人,射手座,3,3,2,2,4,3,3,3,3,4,2,2,3,2,4,2,2,2,3,4,3,3,4,5,4,5,3,3,2,4,,2
2017/12/29 下午 4:51:20,我本人,射手座,2,2,2,2,5,3,5,2,2,3,3,4,3,2,2,5,4,4,4,5,5,3,3,4,3,2,5,2,5,4,,2
2017/12/29 下午 4:51:28,我本人,巨蟹座,4,2,3,3,5,3,3,4,3,4,4,3,2,2,3,2,4,3,4,4,3,2,5,4,5,5,5,5,4,3,,4
2017/12/29 下午 4:51:33,他人,雙子座,4,4,2,4,4,2,4,2,5,5,4,4,4,4,2,2,5,4,4,5,4,5,3,2,4,4,4,4,4,4,,2
2017/12/29 下午 4:51:49,我本人,金牛座,5,1,3,3,4,2,3,2,3,2,4,3,4,2,2,1,4,3,4,3,3,4,4,5,3,4,4,4,4,3,,3
2017/12/29 下午 4:51:56,他人,射手座,4,2,3,2,3,3,3,4,4,4,2,3,3,3,2,2,4,2,3,3,4,4,4,4,2,4,4,2,3,4,,2
2017/12/29 下午 4:52:22,我本人,牡羊座,2,4,4,3,3,4,2,3,4,4,5,2,4,3,1,2,1,1,3,2,3,5,5,5,5,3,4,4,4,3,,2
2017/12/29 下午 4:52:28,我本人,射手座,3,3,3,3,2,2,2,2,4,2,5,5,4,4,4,3,4,4,4,4,5,5,5,4,4,2,3,4,2,3,,4
2017/12/29 下午 4:52:33,我本人,獅子座,2,3,4,4,4,3,3,2,3,2,4,2,3,3,3,4,4,3,3,4,3,3,3,5,3,3,3,5,3,4,,3
2017/12/29 下午 4:52:50,我本人,摩羯座,2,4,4,2,3,3,2,3,5,2,4,2,2,1,4,3,4,5,3,4,1,4,4,4,4,3,4,5,3,2,,2
2017/12/29 下午 4:52:56,我本人,雙魚座,5,4,3,3,5,3,5,4,3,3,4,2,5,3,1,1,3,3,4,3,3,3,4,5,4,3,5,3,5,4,辛苦了～,3
2017/12/29 下午 4:53:05,我本人,射手座,1,4,5,3,3,3,2,3,3,3,3,3,4,4,3,2,3,3,4,4,5,5,3,2,5,2,4,4,3,3,,1
2017/12/29 下午 4:53:26,我本人,雙子座,2,3,4,2,2,2,3,4,4,4,4,3,2,2,2,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,,3
2017/12/29 下午 4:53:44,我本人,雙子座,5,1,4,3,2,1,4,2,3,3,4,3,4,1,2,1,3,3,4,3,3,2,4,5,2,3,4,3,4,4,辛苦了,4
2017/12/29 下午 4:53:50,我本人,水瓶座,4,3,2,2,4,1,3,4,4,3,4,4,4,4,2,4,4,2,4,2,2,4,5,5,4,4,4,4,5,3,,2
2017/12/29 下午 4:54:31,我本人,牡羊座,2,2,5,2,3,3,2,5,5,3,3,3,4,3,2,3,4,3,3,4,4,4,5,4,3,3,3,3,4,4,,3
2017/12/29 下午 4:54:49,我本人,射手座,3,2,4,1,1,4,4,5,5,1,5,2,3,4,2,3,2,1,2,3,3,4,5,3,2,3,3,2,2,4,,3
2017/12/29 下午 4:55:06,我本人,牡羊座,1,5,5,5,2,4,3,5,4,4,5,2,2,3,1,1,3,1,3,3,2,4,5,4,3,3,3,4,3,4,,3
2017/12/29 下午 4:55:12,我本人,天秤座,2,4,2,3,4,3,3,2,3,3,4,4,3,3,3,3,4,4,2,4,3,4,4,4,3,4,3,2,2,3,,4
